Year,Live_Birth,Crude_Birth_Rate
1963,398244,22.38
1964,424244,23.32
1965,415109,22.32
1966,428207,22.52
1967,402151,20.69
1968,415132,20.89
1969,378716,18.64
1970,305435,14.7
1971,398159,18.54
1972,468076,21.15
1973,466445,20.66
1974,471424,20.41
1975,530425,22.42
1976,529522,21.78
1977,494888,19.93
1978,498357,21.04
1979,527839,21.88
1980,532422,21.64
1981,554371,21.64
1982,560859,21.48
1983,546192,20.57
1984,548998,20.32
1985,587966,21.38
1986,567210,20.26
1987,570283,20.01
1988,574312,19.8
1989,564066,19.82
1990,568981,19.73
1991,557697,19.08
1992,523455,17.67
1993,530470,17.67
1994,533209,17.52
1995,557787,18.09
1996,586253,18.76
1997,607727,19.19
1998,591508,18.43
1999,596948,18.32
2000,593724,18.01
2001,579063,18.13
2002,581925,18.05
2003,558369,17.16
2004,563153,17.15
2005,559082,17.34
2006,556326,16.63
2007,545154,16.18
2008,535738,15.74
2009,545154,15.82
2010,546964,15.75
2011,560268,16.75
2012,550411,16.37
2013,536352,15.88
2014,534458,15.75
2015,516013,15.13
2016,496292,14.48
2017,503597,14.62
2018,488174,14.1
2019,480113,13.79
2020,446891,12.77
2021,419797,11.94
2022,439742,12.43
2023,393231,11.06
